listed_in,description
International,A man who hopes to bring light to his village must compete with an officer from the electricity department to win over the love of his life.
International,A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
Documentaries,"Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko Ono’s seminal 1971 album, “Imagine.”"
Documentaries,Go behind the scenes as four determined women – including Alexandria Ocasio-Cortez – challenge big-money politicians in the 2018 race for Congress.
International,"Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader."
International,A group of small-town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school's championship victory.
International,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down."
International,"In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons."
Stand-Up Comedy,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York."
International,"The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit."
International,"After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power."
International,"As a guardian of space-time order, 28-year-old Wang Dadong returns to Bale High School to investigate an anomaly and clashes with King."
International,"In the Silver Dimension, Liu Bei, Guan Yu and Zhang Fei plan to enroll in an elite academy as sworn brothers, but KO One visitors derail the plan."
International,"A time quake propels Wang Dadong into the future, where he encounters a classmate named King who presides over the KO One."
International,A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.
International,"When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son."
International,"When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son."
Children & Family,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death."
